Date,Open,High,Low,Close,Adj Close,Volume
02-09-2002,44.75,45.974998,44.049999,44.5,31.293869,2389568
03-09-2002,44.75,44.9375,42,42.412498,29.825882,986784
04-09-2002,41.875,43.75,41.387501,43.337502,30.47637,1449856
05-09-2002,44.662498,44.862499,42.5,43.075001,30.291769,1061360
06-09-2002,43.25,43.25,41.012501,41.474998,29.166615,907472
09-09-2002,39.5,42.6875,39.5,40.9375,28.788614,880848
10-09-2002,40.9375,40.9375,40.9375,40.9375,28.788614,0
11-09-2002,41.162498,42.700001,41.162498,41.974998,29.518225,635936
12-09-2002,42.487499,43.224998,41.900002,42.1875,29.66765,781968
13-09-2002,40.712502,42.224998,40.637501,40.987499,28.823782,338264
16-09-2002,41.375,41.599998,39.875,40.1875,28.261181,288592
17-09-2002,40.912498,41.625,40.775002,41.362499,29.08749,462952
18-09-2002,41.125,41.25,39.75,40.087502,28.190872,315432
19-09-2002,39.75,41.075001,39.25,39.75,27.953522,490848
20-09-2002,38.325001,39.674999,38.162498,39.099998,27.496428,501072
23-09-2002,39.375,39.474998,38.275002,38.4375,27.030537,248504
24-09-2002,38.299999,38.299999,36.724998,37.137501,26.116331,267912
25-09-2002,36.275002,37.75,36,37.424999,26.318508,379544
26-09-2002,38.200001,38.612499,37.75,38.012501,26.731667,178136
27-09-2002,37.887501,39,37.887501,38.474998,27.056894,206288
30-09-2002,37.887501,38.474998,36.275002,37.075001,26.072378,202232
01-10-2002,37.25,37.75,36.125,36.762501,25.852615,240192
02-10-2002,36.762501,36.762501,36.762501,36.762501,25.852615,0
03-10-2002,37.25,39.75,37.25,37.75,26.54706,673264
04-10-2002,38.25,38.362499,37.125,37.512501,26.380047,258296
07-10-2002,37.762501,38,37.025002,37.349998,26.265757,110976
08-10-2002,37.462502,38.724998,37.25,38.362499,26.977793,227352
09-10-2002,38.5,39.112499,37.0625,37.387501,26.292145,277040
10-10-2002,38.5,38.5,36.637501,37.424999,26.318508,173224
11-10-2002,38.474998,38.9375,38.112499,38.212502,26.872301,192536
14-10-2002,38.924999,39,37.575001,37.9375,26.678911,152744
15-10-2002,37.9375,37.9375,37.9375,37.9375,26.678911,0
16-10-2002,42.775002,42.775002,37.775002,38.012501,26.731667,247760
17-10-2002,38.25,38.25,37.525002,38.012501,26.731667,144512
18-10-2002,38.75,39.924999,38.287498,38.8125,27.294237,512312
21-10-2002,39.724998,40.737499,39.25,39.412498,27.716181,646296
22-10-2002,39.75,39.75,37.75,37.987499,26.714077,229384
23-10-2002,38.25,38.700001,37.525002,37.8125,26.591003,153320
