Date,Open,High,Low,Close,Adj Close,Volume
8/25/2023,3375,3385.800049,3350.25,3381.300049,3332.794678,1158046
8/28/2023,3394,3394,3360.100098,3375.550049,3327.126953,1037485
8/29/2023,3381.050049,3389.550049,3365,3376.149902,3327.718506,944517
8/30/2023,3398,3408.100098,3383.050049,3390.949951,3342.306152,1188200
8/31/2023,3401,3417.399902,3343.649902,3356.800049,3308.64624,3417652
9/1/2023,3366,3389,3356.800049,3379.199951,3330.724854,1277950
9/4/2023,3378,3432.850098,3370.050049,3418.5,3369.461182,1828332
9/5/2023,3420,3447,3405.149902,3429.350098,3380.155518,1501842
9/6/2023,3434,3443.899902,3398.100098,3429.899902,3380.69751,1314818
9/7/2023,3430.800049,3460,3422.300049,3455.25,3405.683838,1885092
9/8/2023,3455.25,3465,3435.050049,3441.899902,3392.525146,1518917
9/11/2023,3462,3485.699951,3445,3480.649902,3430.719238,1783604
9/12/2023,3492,3589.899902,3483,3580.800049,3529.432861,4476016
9/13/2023,3571.100098,3588.850098,3545,3567.850098,3516.668701,1754929
9/14/2023,3570.050049,3597.699951,3545.600098,3560.050049,3508.980469,2604721
9/15/2023,3567.850098,3607.350098,3562.449951,3598.300049,3546.681885,2952897
9/18/2023,3580.050049,3619.300049,3575.25,3606.149902,3554.418945,1395753
9/20/2023,3580,3625,3580,3606.050049,3554.320557,1649396
9/21/2023,3588.550049,3605,3528,3585.300049,3533.868164,2004073
9/22/2023,3584,3633.75,3565.050049,3603.649902,3551.955078,1989083
9/25/2023,3602.5,3620,3558.649902,3577.149902,3525.835205,1238778
9/26/2023,3567.600098,3594.949951,3536,3585.699951,3534.262451,1726062
9/27/2023,3590,3614,3555.699951,3589.300049,3537.811035,1541134
9/28/2023,3600,3602.800049,3527.350098,3536.75,3486.014893,1755753
9/29/2023,3537.199951,3568.449951,3505.550049,3528.600098,3477.981689,2243791
10/3/2023,3534.199951,3534.199951,3480.100098,3513.850098,3463.443359,1948148
10/4/2023,3486.300049,3548,3477.300049,3537.75,3487.000244,1788138
10/5/2023,3554,3624,3551.199951,3589.350098,3537.860352,2990768
10/6/2023,3591,3634.949951,3575.050049,3621.399902,3569.450195,2075691
10/9/2023,3645.050049,3679,3631,3638.350098,3586.157227,4233074
10/10/2023,3640.050049,3648,3601.350098,3628.899902,3576.842773,1848148
10/11/2023,3650,3650,3605,3609.899902,3558.115234,2426417
10/12/2023,3575,3588.649902,3538.100098,3542.550049,3491.731689,4241281
10/13/2023,3530,3577,3525,3570.850098,3519.625732,2890357
10/16/2023,3566,3574.649902,3519.100098,3524.050049,3473.496826,1671104
10/17/2023,3530,3534.149902,3503.350098,3507.050049,3456.740723,1672065
10/18/2023,3511,3522.699951,3484,3487.25,3437.224854,1408245
10/19/2023,3469.5,3476.850098,3451.899902,3455.649902,3414.891357,1514545
10/20/2023,3450.399902,3499.5,3444.050049,3494.550049,3453.33252,1481211
10/23/2023,3473,3478.949951,3401.300049,3410.149902,3369.927979,1106272
10/25/2023,3390.5,3425,3377.199951,3390.100098,3350.114502,1518537
